Global seed set to 2077
GPU available: True, used: True
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
Global seed set to 2077
Global seed set to 2077
initializing distributed: GLOBAL_RANK: 0, MEMBER: 1/4
Global seed set to 2077
Global seed set to 2077
Global seed set to 2077
initializing distributed: GLOBAL_RANK: 1, MEMBER: 2/4
Initializing ConvModel
Initializing ConvTransModel
[2022-08-22 16:22:20,165][torch.distributed.distributed_c10d][INFO] - Rank 3: Completed store-based barrier for 4 nodes.
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0,1,2,3]
LOCAL_RANK: 1 - CUDA_VISIBLE_DEVICES: [0,1,2,3]
LOCAL_RANK: 2 - CUDA_VISIBLE_DEVICES: [0,1,2,3]
LOCAL_RANK: 3 - CUDA_VISIBLE_DEVICES: [0,1,2,3]
wandb: ERROR api_key not configured (no-tty). call wandb.login(key=[your_api_key])
Error executing job with overrides: ['run.name=c-origami-baseline']
Traceback (most recent call last):
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 685, in _call_and_handle_interrupt
    return trainer_fn(*args, **kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 777, in _fit_impl
    self._run(model, ckpt_path=ckpt_path)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 1188, in _run
    self._pre_dispatch()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 1224, in _pre_dispatch
    self._log_hyperparams()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 1259, in _log_hyperparams
    self.logger.log_hyperparams(hparams_initial)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/base.py", line 411, in log_hyperparams
    logger.log_hyperparams(params)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/utilities/distributed.py", line 50, in wrapped_fn
    return fn(*args, **kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/wandb.py", line 362, in log_hyperparams
    self.experiment.config.update(params, allow_val_change=True)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/base.py", line 43, in experiment
    return get_experiment() or DummyExperiment()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/utilities/distributed.py", line 50, in wrapped_fn
    return fn(*args, **kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/base.py", line 41, in get_experiment
    return fn(self)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/wandb.py", line 339, in experiment
    self._experiment = wandb.init(**self._wandb_init)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_init.py", line 996, in init
    wi.setup(kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_init.py", line 237, in setup
    wandb_login._login(
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_login.py", line 297, in _login
    wlogin.prompt_api_key()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_login.py", line 227, in prompt_api_key
    raise UsageError("api_key not configured (no-tty). call " + directive)
wandb.errors.UsageError: api_key not configured (no-tty). call wandb.login(key=[your_api_key])

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/gpfs/data/abl/home/shenkn01/githubs/c-origami/src/training/main.py", line 18, in main
    init_training(args)
  File "/gpfs/data/abl/home/shenkn01/githubs/c-origami/src/training/main.py", line 66, in init_training
    pl_trainer.fit(pl_module, trainloader, valloader)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 740, in fit
    self._call_and_handle_interrupt(
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 698, in _call_and_handle_interrupt
    self.training_type_plugin.reconciliate_processes(traceback.format_exc())
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/plugins/training_type/ddp.py", line 533, in reconciliate_processes
    raise DeadlockDetectedException(f"DeadLock detected from rank: {self.global_rank} \n {trace}")
pytorch_lightning.utilities.exceptions.DeadlockDetectedException: DeadLock detected from rank: 0 
 Traceback (most recent call last):
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 685, in _call_and_handle_interrupt
    return trainer_fn(*args, **kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 777, in _fit_impl
    self._run(model, ckpt_path=ckpt_path)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 1188, in _run
    self._pre_dispatch()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 1224, in _pre_dispatch
    self._log_hyperparams()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/trainer/trainer.py", line 1259, in _log_hyperparams
    self.logger.log_hyperparams(hparams_initial)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/base.py", line 411, in log_hyperparams
    logger.log_hyperparams(params)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/utilities/distributed.py", line 50, in wrapped_fn
    return fn(*args, **kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/wandb.py", line 362, in log_hyperparams
    self.experiment.config.update(params, allow_val_change=True)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/base.py", line 43, in experiment
    return get_experiment() or DummyExperiment()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/utilities/distributed.py", line 50, in wrapped_fn
    return fn(*args, **kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/base.py", line 41, in get_experiment
    return fn(self)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/pytorch_lightning/loggers/wandb.py", line 339, in experiment
    self._experiment = wandb.init(**self._wandb_init)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_init.py", line 996, in init
    wi.setup(kwargs)
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_init.py", line 237, in setup
    wandb_login._login(
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_login.py", line 297, in _login
    wlogin.prompt_api_key()
  File "/gpfs/home/shenkn01/.conda/envs/pip_package/lib/python3.9/site-packages/wandb/sdk/wandb_login.py", line 227, in prompt_api_key
    raise UsageError("api_key not configured (no-tty). call " + directive)
wandb.errors.UsageError: api_key not configured (no-tty). call wandb.login(key=[your_api_key])


Set the environment variable HYDRA_FULL_ERROR=1 for a complete stack trace.
